dataset name,sample id,dimension,score
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Causal Reasoning,1
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Cognitive Flexibility,0
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Emotion Perception and Empathy,0
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Episodic Memory,0
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Functional Perception,2
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Inhibitory Control,3
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Language,2
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Mental Simulation,1
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Metacognition,3
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Object Permanence,0
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Perception and Pattern Recognition,2
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Planning,0
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Procedural Memory,1
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Prospective Memory,0
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Semantic Memory,3
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Spatial Reasoning and Navigation,0
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Theory of Mind,0
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,Working Memory,4
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,ambiguity,5
maximegmd/MetaMedQA_annotation,metamedqa_00cb5855,factuality,5
maximegmd/MetaMedQA_annotation,metamedqa_04d9bbbf,Causal Reasoning,2
maximegmd/MetaMedQA_annotation,metamedqa_04d9bbbf,Cognitive Flexibility,2
maximegmd/MetaMedQA_annotation,metamedqa_04d9bbbf,Emotion Perception and Empathy,0
maximegmd/MetaMedQA_annotation,metamedqa_04d9bbbf,Episodic Memory,1
maximegmd/MetaMedQA_annotation,metamedqa_04d9bbbf,Functional Perception,2
maximegmd/MetaMedQA_annotation,metamedqa_04d9bbbf,Inhibitory Control,2
maximegmd/MetaMedQA_annotation,metamedqa_04d9bbbf,Language,3
maximegmd/MetaMedQA_annotation,metamedqa_04d9bbbf,Mental Simulation,0
